@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
100,'2018/04/04 20:23:43:728',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,'2018/04/04 20:23:43:776',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,'2018/04/04 20:23:43:826',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,'2018/04/04 20:23:43:876',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,'2018/04/04 20:23:43:927',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,'2018/04/04 20:23:43:976',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,'2018/04/04 20:23:44:026',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,'2018/04/04 20:23:44:161',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,'2018/04/04 20:23:44:210',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,'2018/04/04 20:23:44:270',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,'2018/04/04 20:23:44:318',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,'2018/04/04 20:23:44:366',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,'2018/04/04 20:23:44:414',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,'2018/04/04 20:23:44:463',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,'2018/04/04 20:23:44:510',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,'2018/04/04 20:23:44:563',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,'2018/04/04 20:23:44:610',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,'2018/04/04 20:23:44:660',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,'2018/04/04 20:23:44:710',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,'2018/04/04 20:23:44:759',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,'2018/04/04 20:23:44:809',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,'2018/04/04 20:23:44:860',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,'2018/04/04 20:23:44:909',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,'2018/04/04 20:23:44:959',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,'2018/04/04 20:23:45:010',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,'2018/04/04 20:23:45:065',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,'2018/04/04 20:23:45:113',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,'2018/04/04 20:23:45:164',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,'2018/04/04 20:23:45:210',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,'2018/04/04 20:23:45:261',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,'2018/04/04 20:23:45:312',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,'2018/04/04 20:23:45:361',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,'2018/04/04 20:23:45:410',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,'2018/04/04 20:23:45:465',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,'2018/04/04 20:23:45:513',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,'2018/04/04 20:23:45:568',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,'2018/04/04 20:23:45:616',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,'2018/04/04 20:23:45:664',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,'2018/04/04 20:23:45:712',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,'2018/04/04 20:23:45:761',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,'2018/04/04 20:23:45:810',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,'2018/04/04 20:23:45:862',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,'2018/04/04 20:23:45:911',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,'2018/04/04 20:23:45:960',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,'2018/04/04 20:23:46:011',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,'2018/04/04 20:23:46:063',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,'2018/04/04 20:23:46:110',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,'2018/04/04 20:23:46:180',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,'2018/04/04 20:23:46:227',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,'2018/04/04 20:23:46:442',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,'2018/04/04 20:23:46:477',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,'2018/04/04 20:23:46:529',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,'2018/04/04 20:23:46:576',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,'2018/04/04 20:23:46:626',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,'2018/04/04 20:23:46:676',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,'2018/04/04 20:23:46:726',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
