@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1702,'2018/04/09 15:37:48:335',8,527.24762,338.505157,40.316734,450.023499,336.555603,63.420174,390.097992,335.825378,67.286278,315.748657,335.360626,66.213058,248.752823,342.608643,60.513386,0,0,0,0,0
1703,'2018/04/09 15:37:48:385',8,526.370117,337.464478,40.273834,449.411102,336.192444,63.387043,389.528107,335.777527,67.260902,315.144165,335.354919,66.205688,248.140411,342.620605,60.514435,0,0,0,0,0
1704,'2018/04/09 15:37:48:435',8,525.477539,336.471863,40.287289,448.384705,335.375092,63.386269,388.455841,335.091156,67.254219,314.074127,334.795319,66.192154,247.159393,342.184998,60.49884,0,0,0,0,0
1705,'2018/04/09 15:37:48:484',8,524.885376,336.080383,40.2798,447.591705,334.823059,63.362923,387.613617,334.501038,67.222626,313.247253,334.230164,66.14843,246.381851,341.65564,60.452484,0,0,0,0,0
1706,'2018/04/09 15:37:48:534',8,524.658142,335.820801,40.223576,447.457367,334.442841,63.307983,387.487671,334.039246,67.171127,313.128387,333.708099,66.099274,246.20105,341.044006,60.41048,0,0,0,0,0
1707,'2018/04/09 15:37:48:587',8,524.346191,335.821533,40.237663,447.261353,334.436523,63.323833,387.292694,333.991394,67.192741,312.938934,333.665955,66.124413,245.975601,340.973694,60.44323,0,0,0,0,0
1708,'2018/04/09 15:37:48:637',8,523.948486,335.524475,40.236877,446.90097,334.293335,63.321728,386.924713,333.877075,67.192902,312.57608,333.604431,66.124786,245.625275,340.927399,60.446381,0,0,0,0,0
1709,'2018/04/09 15:37:48:687',8,523.850403,335.293823,40.191486,446.950165,333.996277,63.280651,386.986542,333.460144,67.15844,312.640015,333.058533,66.095764,245.602859,340.23877,60.423439,0,0,0,0,0
1710,'2018/04/09 15:37:48:735',8,524.161987,335.690308,40.193733,447.162903,333.595581,63.267582,387.168427,332.729218,67.141037,312.855042,332.13205,66.067123,245.734497,339.162354,60.403244,0,0,0,0,0
1711,'2018/04/09 15:37:48:785',8,524.695251,335.745422,40.146095,447.997192,333.396057,63.226612,388.042633,332.40863,67.11248,313.752136,331.789368,66.047615,246.506302,338.695465,60.407318,0,0,0,0,0
